Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage,adm1_pcode,adm2_pcode
Aug-25,ZMB,0,Luapula,Milengi,first projection,01/10/2025,31/03/2026,3+,16075,0.25,ZM104,ZM104007
Aug-25,ZMB,0,Luapula,Lunga,current,01/04/2025,30/09/2025,3+,13440,0.3,ZM104,ZM104005
Aug-25,ZMB,0,Luapula,Lunga,first projection,01/10/2025,31/03/2026,3+,13440,0.3,ZM104,ZM104005
Aug-25,ZMB,0,Luapula,Kawambwa,current,01/04/2025,30/09/2025,3+,14083,0.1,ZM104,ZM104004
Aug-25,ZMB,0,Luapula,Kawambwa,first projection,01/10/2025,31/03/2026,3+,21124,0.15,ZM104,ZM104004
Aug-25,ZMB,0,Northern,Nsama,current,01/04/2025,30/09/2025,3+,13266,0.15,ZM107,ZM107009
Aug-25,ZMB,0,Northern,Nsama,first projection,01/10/2025,31/03/2026,3+,17688,0.2,ZM107,ZM107009
Aug-25,ZMB,0,Northern,Mungwi,current,01/04/2025,30/09/2025,3+,36727,0.15,ZM107,ZM107008
Aug-25,ZMB,0,Northern,Mungwi,first projection,01/10/2025,31/03/2026,3+,48969,0.2,ZM107,ZM107008
Aug-25,ZMB,0,Northern,Senga hill,current,01/04/2025,30/09/2025,3+,21561,0.15,ZM107,ZM107010
Aug-25,ZMB,0,Northern,Senga hill,first projection,01/10/2025,31/03/2026,3+,28749,0.2,ZM107,ZM107010
Aug-25,ZMB,0,Northern,Chilubi,current,01/04/2025,30/09/2025,3+,25951,0.2,ZM107,ZM107001
Aug-25,ZMB,0,Northern,Chilubi,first projection,01/10/2025,31/03/2026,3+,32439,0.25,ZM107,ZM107001
Aug-25,ZMB,0,Northern,Kaputa,current,01/04/2025,30/09/2025,3+,17550,0.15,ZM107,ZM107002
Aug-25,ZMB,0,Northern,Kaputa,first projection,01/10/2025,31/03/2026,3+,17550,0.15,ZM107,ZM107002
Aug-25,ZMB,0,Northern,Mporokoso,current,01/04/2025,30/09/2025,3+,10847,0.15,ZM107,ZM107006
Aug-25,ZMB,0,Northern,Mporokoso,first projection,01/10/2025,31/03/2026,3+,14462,0.2,ZM107,ZM107006
Jul-24,ZMB,19610769,Muchinga,Shiwang'andu,current,01/07/2024,30/09/2024,3+,16911,0.2,ZM106,ZM106007
Jul-24,ZMB,19610769,Muchinga,Shiwang'andu,first projection,01/10/2024,31/03/2025,3+,21692,0.25,ZM106,ZM106007
Jul-24,ZMB,19610769,Muchinga,Mafinga,current,01/07/2024,30/09/2024,3+,16565,0.15,ZM106,ZM106004
Jul-24,ZMB,19610769,Muchinga,Mafinga,first projection,01/10/2024,31/03/2025,3+,22663,0.2,ZM106,ZM106004
Jul-24,ZMB,19610769,Muchinga,Mpika,current,01/07/2024,30/09/2024,3+,24082,0.15,ZM106,ZM106005
Jul-24,ZMB,19610769,Muchinga,Mpika,first projection,01/10/2024,31/03/2025,3+,32948,0.2,ZM106,ZM106005
Jul-24,ZMB,19610769,Muchinga,Lavushimanda,current,01/07/2024,30/09/2024,3+,21018,0.35,ZM106,ZM106009
Jul-24,ZMB,19610769,Muchinga,Lavushimanda,first projection,01/10/2024,31/03/2025,3+,15405,0.25,ZM106,ZM106009
Jul-24,ZMB,19610769,Northern,Chilubi,current,01/07/2024,30/09/2024,3+,36838,0.3,ZM107,ZM107001
Jul-24,ZMB,19610769,Northern,Chilubi,first projection,01/10/2024,31/03/2025,3+,44101,0.35,ZM107,ZM107001
Jul-24,ZMB,19610769,Northern,Mpulungu,current,01/07/2024,30/09/2024,3+,24809,0.15,ZM107,ZM107007
Jul-24,ZMB,19610769,Northern,Mpulungu,first projection,01/10/2024,31/03/2025,3+,25457,0.15,ZM107,ZM107007
Jul-24,ZMB,19610769,Northern,Mporokoso,current,01/07/2024,30/09/2024,3+,10251,0.15,ZM107,ZM107006
Jul-24,ZMB,19610769,Northern,Mporokoso,first projection,01/10/2024,31/03/2025,3+,14025,0.2,ZM107,ZM107006
Jul-24,ZMB,19610769,Northern,Nsama,current,01/07/2024,30/09/2024,3+,16726,0.2,ZM107,ZM107009
Jul-24,ZMB,19610769,Northern,Nsama,first projection,01/10/2024,31/03/2025,3+,21455,0.25,ZM107,ZM107009
Jul-24,ZMB,19610769,Northern,Mungwi,current,01/07/2024,30/09/2024,3+,33134,0.15,ZM107,ZM107008
Jul-24,ZMB,19610769,Northern,Mungwi,first projection,01/10/2024,31/03/2025,3+,45334,0.2,ZM107,ZM107008
Jul-24,ZMB,19610769,North-Western,Zambezi,current,01/07/2024,30/09/2024,3+,40795,0.35,ZM108,ZM108009
Jul-24,ZMB,19610769,North-Western,Zambezi,first projection,01/10/2024,31/03/2025,3+,47841,0.4,ZM108,ZM108009
Jul-24,ZMB,19610769,North-Western,Chavuma,current,01/07/2024,30/09/2024,3+,20717,0.35,ZM108,ZM108001
Jul-24,ZMB,19610769,North-Western,Chavuma,first projection,01/10/2024,31/03/2025,3+,21259,0.35,ZM108,ZM108001
Jul-24,ZMB,19610769,North-Western,Mufumbwe,current,01/07/2024,30/09/2024,3+,42313,0.4,ZM108,ZM108006
Jul-24,ZMB,19610769,North-Western,Mufumbwe,first projection,01/10/2024,31/03/2025,3+,48846,0.45,ZM108,ZM108006
Jul-24,ZMB,19610769,North-Western,Kalumbila,current,01/07/2024,30/09/2024,3+,28606,0.15,ZM108,ZM108010
Jul-24,ZMB,19610769,North-Western,Kalumbila,first projection,01/10/2024,31/03/2025,3+,39138,0.2,ZM108,ZM108010
Jul-24,ZMB,19610769,North-Western,Manyinga,current,01/07/2024,30/09/2024,3+,28283,0.35,ZM108,ZM108005
Jul-24,ZMB,19610769,North-Western,Manyinga,first projection,01/10/2024,31/03/2025,3+,33169,0.4,ZM108,ZM108005
Jul-24,ZMB,19610769,North-Western,Kasempa,current,01/07/2024,30/09/2024,3+,17976,0.15,ZM108,ZM108004
Jul-24,ZMB,19610769,North-Western,Kasempa,first projection,01/10/2024,31/03/2025,3+,24595,0.2,ZM108,ZM108004
Jul-24,ZMB,19610769,North-Western,Mushindano,current,01/07/2024,30/09/2024,3+,21110,0.3,ZM108,ZM108011
Jul-24,ZMB,19610769,North-Western,Mushindano,first projection,01/10/2024,31/03/2025,3+,28882,0.4,ZM108,ZM108011
Jul-24,ZMB,19610769,North-Western,Kabompo,current,01/07/2024,30/09/2024,3+,24789,0.35,ZM108,ZM108003
Jul-24,ZMB,19610769,North-Western,Kabompo,first projection,01/10/2024,31/03/2025,3+,29071,0.4,ZM108,ZM108003
Jul-24,ZMB,19610769,Western,Sesheke,current,01/07/2024,30/09/2024,3+,35213,0.45,ZM110,ZM110013
Jul-24,ZMB,19610769,Western,Sesheke,first projection,01/10/2024,31/03/2025,3+,44164,0.55,ZM110,ZM110013
Jul-24,ZMB,19610769,Western,Sikongo,current,01/07/2024,30/09/2024,3+,41773,0.65,ZM110,ZM110015
Jul-24,ZMB,19610769,Western,Sikongo,first projection,01/10/2024,31/03/2025,3+,46163,0.7,ZM110,ZM110015
Jul-24,ZMB,19610769,Western,Kaoma,current,01/07/2024,30/09/2024,3+,55296,0.35,ZM110,ZM110002
Jul-24,ZMB,19610769,Western,Kaoma,first projection,01/10/2024,31/03/2025,3+,78994,0.5,ZM110,ZM110002
Jul-24,ZMB,19610769,Western,Mulobezi,current,01/07/2024,30/09/2024,3+,21968,0.45,ZM110,ZM110008
Jul-24,ZMB,19610769,Western,Mulobezi,first projection,01/10/2024,31/03/2025,3+,25047,0.5,ZM110,ZM110008
Jul-24,ZMB,19610769,Western,Nkeyema,current,01/07/2024,30/09/2024,3+,51410,0.45,ZM110,ZM110011
Jul-24,ZMB,19610769,Western,Nkeyema,first projection,01/10/2024,31/03/2025,3+,58616,0.5,ZM110,ZM110011
Jul-24,ZMB,19610769,Western,Kalabo,current,01/07/2024,30/09/2024,3+,42132,0.35,ZM110,ZM110001
Jul-24,ZMB,19610769,Western,Kalabo,first projection,01/10/2024,31/03/2025,3+,55586,0.45,ZM110,ZM110001
Jul-24,ZMB,19610769,Western,Nalolo,current,01/07/2024,30/09/2024,3+,39659,0.5,ZM110,ZM110010
Jul-24,ZMB,19610769,Western,Nalolo,first projection,01/10/2024,31/03/2025,3+,48835,0.6,ZM110,ZM110010
Jul-24,ZMB,19610769,Western,Mitete,current,01/07/2024,30/09/2024,3+,21347,0.5,ZM110,ZM110006
Jul-24,ZMB,19610769,Western,Mitete,first projection,01/10/2024,31/03/2025,3+,26287,0.6,ZM110,ZM110006
Jul-24,ZMB,19610769,Western,Sioma,current,01/07/2024,30/09/2024,3+,42352,0.6,ZM110,ZM110016
Jul-24,ZMB,19610769,Western,Sioma,first projection,01/10/2024,31/03/2025,3+,50702,0.7,ZM110,ZM110016
Jul-24,ZMB,19610769,Western,Luampa,current,01/07/2024,30/09/2024,3+,23003,0.35,ZM110,ZM110004
Jul-24,ZMB,19610769,Western,Luampa,first projection,01/10/2024,31/03/2025,3+,30348,0.45,ZM110,ZM110004
Jul-24,ZMB,19610769,Western,Limulunga,current,01/07/2024,30/09/2024,3+,32904,0.5,ZM110,ZM110003
Jul-24,ZMB,19610769,Western,Limulunga,first projection,01/10/2024,31/03/2025,3+,37141,0.55,ZM110,ZM110003
Jul-24,ZMB,19610769,Western,Mwandi,current,01/07/2024,30/09/2024,3+,19589,0.45,ZM110,ZM110009
Jul-24,ZMB,19610769,Western,Mwandi,first projection,01/10/2024,31/03/2025,3+,22334,0.5,ZM110,ZM110009
Jul-24,ZMB,19610769,Western,Mongu,current,01/07/2024,30/09/2024,3+,42611,0.2,ZM110,ZM110007
Jul-24,ZMB,19610769,Western,Mongu,first projection,01/10/2024,31/03/2025,3+,54656,0.25,ZM110,ZM110007
Jul-24,ZMB,19610769,Western,Senanga,current,01/07/2024,30/09/2024,3+,72403,0.6,ZM110,ZM110012
Jul-24,ZMB,19610769,Western,Senanga,first projection,01/10/2024,31/03/2025,3+,80485,0.65,ZM110,ZM110012
Jul-24,ZMB,19610769,Western,Shangombo,current,01/07/2024,30/09/2024,3+,51680,0.65,ZM110,ZM110014
Jul-24,ZMB,19610769,Western,Shangombo,first projection,01/10/2024,31/03/2025,3+,57110,0.7,ZM110,ZM110014
Jul-24,ZMB,19610769,Western,Lukulu,current,01/07/2024,30/09/2024,3+,51853,0.5,ZM110,ZM110005
Jul-24,ZMB,19610769,Western,Lukulu,first projection,01/10/2024,31/03/2025,3+,58530,0.55,ZM110,ZM110005
Jul-24,ZMB,19610769,Central,Mumbwa,current,01/07/2024,30/09/2024,3+,143132,0.4,ZM101,ZM101009
Jul-24,ZMB,19610769,Central,Mumbwa,first projection,01/10/2024,31/03/2025,3+,165231,0.45,ZM101,ZM101009
Jul-24,ZMB,19610769,Central,Shibuyunji,current,01/07/2024,30/09/2024,3+,44403,0.45,ZM101,ZM101012
Jul-24,ZMB,19610769,Central,Shibuyunji,first projection,01/10/2024,31/03/2025,3+,50626,0.5,ZM101,ZM101012
Jul-24,ZMB,19610769,Central,Chitambo,current,01/07/2024,30/09/2024,3+,32506,0.3,ZM101,ZM101003
Jul-24,ZMB,19610769,Central,Chitambo,first projection,01/10/2024,31/03/2025,3+,38914,0.35,ZM101,ZM101003
Jul-24,ZMB,19610769,Central,Kapiri mposhi,current,01/07/2024,30/09/2024,3+,99913,0.25,ZM101,ZM101006
Jul-24,ZMB,19610769,Central,Kapiri mposhi,first projection,01/10/2024,31/03/2025,3+,123029,0.3,ZM101,ZM101006
Jul-24,ZMB,19610769,Central,Mkushi,current,01/07/2024,30/09/2024,3+,67412,0.3,ZM101,ZM101008
Jul-24,ZMB,19610769,Central,Mkushi,first projection,01/10/2024,31/03/2025,3+,80703,0.35,ZM101,ZM101008
Jul-24,ZMB,19610769,Central,Chisamba,current,01/07/2024,30/09/2024,3+,60626,0.35,ZM101,ZM101002
Jul-24,ZMB,19610769,Central,Chisamba,first projection,01/10/2024,31/03/2025,3+,71098,0.4,ZM101,ZM101002
Jul-24,ZMB,19610769,Central,Kabwe,current,01/07/2024,30/09/2024,3+,96676,0.3,ZM101,ZM101005
Jul-24,ZMB,19610769,Central,Kabwe,first projection,01/10/2024,31/03/2025,3+,115737,0.35,ZM101,ZM101005
Jul-24,ZMB,19610769,Central,Luano,current,01/07/2024,30/09/2024,3+,32317,0.45,ZM101,ZM101007
Jul-24,ZMB,19610769,Central,Luano,first projection,01/10/2024,31/03/2025,3+,36846,0.5,ZM101,ZM101007
Jul-24,ZMB,19610769,Central,Ngabwe,current,01/07/2024,30/09/2024,3+,20406,0.45,ZM101,ZM101010
Jul-24,ZMB,19610769,Central,Ngabwe,first projection,01/10/2024,31/03/2025,3+,23266,0.5,ZM101,ZM101010
Jul-24,ZMB,19610769,Central,Serenje,current,01/07/2024,30/09/2024,3+,42594,0.25,ZM101,ZM101011
Jul-24,ZMB,19610769,Central,Serenje,first projection,01/10/2024,31/03/2025,3+,52449,0.3,ZM101,ZM101011
Jul-24,ZMB,19610769,Central,Chibombo,current,01/07/2024,30/09/2024,3+,136130,0.3,ZM101,ZM101001
Jul-24,ZMB,19610769,Central,Chibombo,first projection,01/10/2024,31/03/2025,3+,186251,0.4,ZM101,ZM101001
Jul-24,ZMB,19610769,Copperbelt,Mufulira,current,01/07/2024,30/09/2024,3+,53901,0.25,ZM102,ZM102009
Jul-24,ZMB,19610769,Copperbelt,Mufulira,first projection,01/10/2024,31/03/2025,3+,66371,0.3,ZM102,ZM102009
Jul-24,ZMB,19610769,Copperbelt,Lufwanyama,current,01/07/2024,30/09/2024,3+,42993,0.3,ZM102,ZM102006
Jul-24,ZMB,19610769,Copperbelt,Lufwanyama,first projection,01/10/2024,31/03/2025,3+,51469,0.35,ZM102,ZM102006
Jul-24,ZMB,19610769,Copperbelt,Chililabombwe,current,01/07/2024,30/09/2024,3+,22924,0.15,ZM102,ZM102001
Jul-24,ZMB,19610769,Copperbelt,Chililabombwe,first projection,01/10/2024,31/03/2025,3+,31365,0.2,ZM102,ZM102001
Jul-24,ZMB,19610769,Copperbelt,Masaiti,current,01/07/2024,30/09/2024,3+,47882,0.25,ZM102,ZM102007
Jul-24,ZMB,19610769,Copperbelt,Masaiti,first projection,01/10/2024,31/03/2025,3+,58960,0.3,ZM102,ZM102007
Jul-24,ZMB,19610769,Copperbelt,Luanshya,current,01/07/2024,30/09/2024,3+,45659,0.2,ZM102,ZM102005
Jul-24,ZMB,19610769,Copperbelt,Luanshya,first projection,01/10/2024,31/03/2025,3+,46852,0.2,ZM102,ZM102005
Jul-24,ZMB,19610769,Copperbelt,Kitwe,current,01/07/2024,30/09/2024,3+,106933,0.15,ZM102,ZM102004
Jul-24,ZMB,19610769,Copperbelt,Kitwe,first projection,01/10/2024,31/03/2025,3+,73152,0.1,ZM102,ZM102004
Jul-24,ZMB,19610769,Copperbelt,Chingola,current,01/07/2024,30/09/2024,3+,48456,0.15,ZM102,ZM102002
Jul-24,ZMB,19610769,Copperbelt,Chingola,first projection,01/10/2024,31/03/2025,3+,49722,0.15,ZM102,ZM102002
Jul-24,ZMB,19610769,Copperbelt,Mpongwe,current,01/07/2024,30/09/2024,3+,36481,0.25,ZM102,ZM102008
Jul-24,ZMB,19610769,Copperbelt,Mpongwe,first projection,01/10/2024,31/03/2025,3+,44921,0.3,ZM102,ZM102008
Jul-24,ZMB,19610769,Copperbelt,Kalulushi,current,01/07/2024,30/09/2024,3+,55155,0.3,ZM102,ZM102003
Jul-24,ZMB,19610769,Copperbelt,Kalulushi,first projection,01/10/2024,31/03/2025,3+,75462,0.4,ZM102,ZM102003
Jul-24,ZMB,19610769,Lusaka,Rufunsa,current,01/07/2024,30/09/2024,3+,26409,0.3,ZM105,ZM105007
Jul-24,ZMB,19610769,Lusaka,Rufunsa,first projection,01/10/2024,31/03/2025,3+,31616,0.35,ZM105,ZM105007
Jul-24,ZMB,19610769,Lusaka,Luangwa,current,01/07/2024,30/09/2024,3+,15480,0.4,ZM105,ZM105005
Jul-24,ZMB,19610769,Lusaka,Luangwa,first projection,01/10/2024,31/03/2025,3+,17871,0.45,ZM105,ZM105005
Jul-24,ZMB,19610769,Lusaka,Chilanga,current,01/07/2024,30/09/2024,3+,36394,0.15,ZM105,ZM105001
Jul-24,ZMB,19610769,Lusaka,Chilanga,first projection,01/10/2024,31/03/2025,3+,37346,0.15,ZM105,ZM105001
Jul-24,ZMB,19610769,Lusaka,Kafue,current,01/07/2024,30/09/2024,3+,47297,0.2,ZM105,ZM105004
Jul-24,ZMB,19610769,Lusaka,Kafue,first projection,01/10/2024,31/03/2025,3+,60667,0.25,ZM105,ZM105004
Jul-24,ZMB,19610769,Lusaka,Lusaka,current,01/07/2024,30/09/2024,3+,356075,0.15,ZM105,ZM105006
Jul-24,ZMB,19610769,Lusaka,Lusaka,first projection,01/10/2024,31/03/2025,3+,365382,0.15,ZM105,ZM105006
Jul-24,ZMB,19610769,Lusaka,Chongwe,current,01/07/2024,30/09/2024,3+,67506,0.2,ZM105,ZM105003
Jul-24,ZMB,19610769,Lusaka,Chongwe,first projection,01/10/2024,31/03/2025,3+,86588,0.25,ZM105,ZM105003
Jul-24,ZMB,19610769,Southern,Chirundu,current,01/07/2024,30/09/2024,3+,25454,0.3,ZM105,ZM105002
Jul-24,ZMB,19610769,Southern,Chirundu,first projection,01/10/2024,31/03/2025,3+,26120,0.3,ZM105,ZM105002
Jul-24,ZMB,19610769,Southern,Namwala,current,01/07/2024,30/09/2024,3+,72350,0.4,ZM109,ZM109009
Jul-24,ZMB,19610769,Southern,Namwala,first projection,01/10/2024,31/03/2025,3+,83520,0.45,ZM109,ZM109009
Jul-24,ZMB,19610769,Southern,Chikankanta,current,01/07/2024,30/09/2024,3+,37195,0.35,ZM109,ZM109001
Jul-24,ZMB,19610769,Southern,Chikankanta,first projection,01/10/2024,31/03/2025,3+,49072,0.45,ZM109,ZM109001
Jul-24,ZMB,19610769,Southern,Siavonga,current,01/07/2024,30/09/2024,3+,32002,0.45,ZM109,ZM109011
Jul-24,ZMB,19610769,Southern,Siavonga,first projection,01/10/2024,31/03/2025,3+,36488,0.5,ZM109,ZM109011
Jul-24,ZMB,19610769,Southern,Kazungula,current,01/07/2024,30/09/2024,3+,65214,0.35,ZM109,ZM109005
Jul-24,ZMB,19610769,Southern,Kazungula,first projection,01/10/2024,31/03/2025,3+,65214,0.35,ZM109,ZM109005
Jul-24,ZMB,19610769,Southern,Choma,current,01/07/2024,30/09/2024,3+,114990,0.4,ZM109,ZM109002
Jul-24,ZMB,19610769,Southern,Choma,first projection,01/10/2024,31/03/2025,3+,132746,0.45,ZM109,ZM109002
Jul-24,ZMB,19610769,Southern,Itezhi-tezhi,current,01/07/2024,30/09/2024,3+,70123,0.5,ZM109,ZM109014
Jul-24,ZMB,19610769,Southern,Itezhi-tezhi,first projection,01/10/2024,31/03/2025,3+,79152,0.55,ZM109,ZM109014
Jul-24,ZMB,19610769,Southern,Monze,current,01/07/2024,30/09/2024,3+,130099,0.45,ZM109,ZM109008
Jul-24,ZMB,19610769,Southern,Monze,first projection,01/10/2024,31/03/2025,3+,133499,0.45,ZM109,ZM109008
Jul-24,ZMB,19610769,Southern,Livingstone,current,01/07/2024,30/09/2024,3+,57317,0.3,ZM109,ZM109006
Jul-24,ZMB,19610769,Southern,Livingstone,first projection,01/10/2024,31/03/2025,3+,58815,0.3,ZM109,ZM109006
Jul-24,ZMB,19610769,Southern,Sinazongwe,current,01/07/2024,30/09/2024,3+,77088,0.45,ZM109,ZM109012
Jul-24,ZMB,19610769,Southern,Sinazongwe,first projection,01/10/2024,31/03/2025,3+,105470,0.6,ZM109,ZM109012
Jul-24,ZMB,19610769,Southern,Gwembe,current,01/07/2024,30/09/2024,3+,38421,0.45,ZM109,ZM109003
Jul-24,ZMB,19610769,Southern,Gwembe,first projection,01/10/2024,31/03/2025,3+,52567,0.6,ZM109,ZM109003
Jul-24,ZMB,19610769,Southern,Kalomo,current,01/07/2024,30/09/2024,3+,147898,0.5,ZM109,ZM109004
Jul-24,ZMB,19610769,Southern,Kalomo,first projection,01/10/2024,31/03/2025,3+,166939,0.55,ZM109,ZM109004
Jul-24,ZMB,19610769,Southern,Zimba,current,01/07/2024,30/09/2024,3+,40831,0.35,ZM109,ZM109013
Jul-24,ZMB,19610769,Southern,Zimba,first projection,01/10/2024,31/03/2025,3+,53869,0.45,ZM109,ZM109013
Jul-24,ZMB,19610769,Southern,Mazabuka,current,01/07/2024,30/09/2024,3+,49984,0.2,ZM109,ZM109007
Jul-24,ZMB,19610769,Southern,Mazabuka,first projection,01/10/2024,31/03/2025,3+,64113,0.25,ZM109,ZM109007
Jul-24,ZMB,19610769,Southern,Pemba,current,01/07/2024,30/09/2024,3+,32641,0.3,ZM109,ZM109010
Jul-24,ZMB,19610769,Southern,Pemba,first projection,01/10/2024,31/03/2025,3+,39076,0.35,ZM109,ZM109010
Jul-24,ZMB,19610769,Luapula,Mwansabombwe,current,01/07/2024,30/09/2024,3+,19037,0.3,ZM104,ZM104008
Jul-24,ZMB,19610769,Luapula,Mwansabombwe,first projection,01/10/2024,31/03/2025,3+,22791,0.35,ZM104,ZM104008
Jul-24,ZMB,19610769,Luapula,Chiengi,current,01/07/2024,30/09/2024,3+,61356,0.3,ZM104,ZM104002
Jul-24,ZMB,19610769,Luapula,Chiengi,first projection,01/10/2024,31/03/2025,3+,73453,0.35,ZM104,ZM104002
Jul-24,ZMB,19610769,Luapula,Nchelenge,current,01/07/2024,30/09/2024,3+,62924,0.25,ZM104,ZM104010
Jul-24,ZMB,19610769,Luapula,Nchelenge,first projection,01/10/2024,31/03/2025,3+,77483,0.3,ZM104,ZM104010
Jul-24,ZMB,19610769,Luapula,Lunga,current,01/07/2024,30/09/2024,3+,27571,0.65,ZM104,ZM104005
Jul-24,ZMB,19610769,Luapula,Lunga,first projection,01/10/2024,31/03/2025,3+,32644,0.75,ZM104,ZM104005
Jul-24,ZMB,19610769,Luapula,Samfya,current,01/07/2024,30/09/2024,3+,71337,0.45,ZM104,ZM104011
Jul-24,ZMB,19610769,Luapula,Samfya,first projection,01/10/2024,31/03/2025,3+,81336,0.5,ZM104,ZM104011
Jul-24,ZMB,19610769,Eastern,Chama,current,01/07/2024,30/09/2024,3+,30227,0.2,ZM103,ZM103015
Jul-24,ZMB,19610769,Eastern,Chama,first projection,01/10/2024,31/03/2025,3+,37784,0.25,ZM103,ZM103015
Jul-24,ZMB,19610769,Eastern,Chasefu,current,01/07/2024,30/09/2024,3+,28253,0.2,ZM103,ZM103010
Jul-24,ZMB,19610769,Eastern,Chasefu,first projection,01/10/2024,31/03/2025,3+,50734,0.35,ZM103,ZM103010
Jul-24,ZMB,19610769,Eastern,Kasenengwa,current,01/07/2024,30/09/2024,3+,41887,0.25,ZM103,ZM103012
Jul-24,ZMB,19610769,Eastern,Kasenengwa,first projection,01/10/2024,31/03/2025,3+,51578,0.3,ZM103,ZM103012
Jul-24,ZMB,19610769,Eastern,Mambwe,current,01/07/2024,30/09/2024,3+,51402,0.4,ZM103,ZM103005
Jul-24,ZMB,19610769,Eastern,Mambwe,first projection,01/10/2024,31/03/2025,3+,65931,0.5,ZM103,ZM103005
Jul-24,ZMB,19610769,Eastern,Lundazi,current,01/07/2024,30/09/2024,3+,33368,0.2,ZM103,ZM103004
Jul-24,ZMB,19610769,Eastern,Lundazi,first projection,01/10/2024,31/03/2025,3+,42800,0.25,ZM103,ZM103004
Jul-24,ZMB,19610769,Eastern,Petauke,current,01/07/2024,30/09/2024,3+,125714,0.45,ZM103,ZM103007
Jul-24,ZMB,19610769,Eastern,Petauke,first projection,01/10/2024,31/03/2025,3+,143333,0.5,ZM103,ZM103007
Jul-24,ZMB,19610769,Eastern,Nyimba,current,01/07/2024,30/09/2024,3+,66029,0.45,ZM103,ZM103006
Jul-24,ZMB,19610769,Eastern,Nyimba,first projection,01/10/2024,31/03/2025,3+,75283,0.5,ZM103,ZM103006
Jul-24,ZMB,19610769,Eastern,Chipata,current,01/07/2024,30/09/2024,3+,70450,0.2,ZM103,ZM103002
Jul-24,ZMB,19610769,Eastern,Chipata,first projection,01/10/2024,31/03/2025,3+,72292,0.2,ZM103,ZM103002
Jul-24,ZMB,19610769,Eastern,Lumezi,current,01/07/2024,30/09/2024,3+,51365,0.3,ZM103,ZM103013
Jul-24,ZMB,19610769,Eastern,Lumezi,first projection,01/10/2024,31/03/2025,3+,61492,0.35,ZM103,ZM103013
Jul-24,ZMB,19610769,Eastern,Katete,current,01/07/2024,30/09/2024,3+,69169,0.3,ZM103,ZM103003
Jul-24,ZMB,19610769,Eastern,Katete,first projection,01/10/2024,31/03/2025,3+,82806,0.35,ZM103,ZM103003
Jul-24,ZMB,19610769,Eastern,Sinda,current,01/07/2024,30/09/2024,3+,115114,0.5,ZM103,ZM103008
Jul-24,ZMB,19610769,Eastern,Sinda,first projection,01/10/2024,31/03/2025,3+,129935,0.55,ZM103,ZM103008
Jul-24,ZMB,19610769,Eastern,Lusangazi,current,01/07/2024,30/09/2024,3+,77374,0.65,ZM103,ZM103014
Jul-24,ZMB,19610769,Eastern,Lusangazi,first projection,01/10/2024,31/03/2025,3+,77374,0.65,ZM103,ZM103014
Jul-24,ZMB,19610769,Eastern,Vubwi,current,01/07/2024,30/09/2024,3+,20009,0.35,ZM103,ZM103009
Jul-24,ZMB,19610769,Eastern,Vubwi,first projection,01/10/2024,31/03/2025,3+,20532,0.35,ZM103,ZM103009
Jul-24,ZMB,19610769,Eastern,Chadiza,current,01/07/2024,30/09/2024,3+,35887,0.3,ZM103,ZM103001
Jul-24,ZMB,19610769,Eastern,Chadiza,first projection,01/10/2024,31/03/2025,3+,42963,0.35,ZM103,ZM103001
Jul-24,ZMB,19610769,Eastern,Chipangali,current,01/07/2024,30/09/2024,3+,45601,0.25,ZM103,ZM103011
Jul-24,ZMB,19610769,Eastern,Chipangali,first projection,01/10/2024,31/03/2025,3+,56151,0.3,ZM103,ZM103011
Sep-23,ZMB,19610769,Western,Nkeyema,current,01/08/2023,30/09/2023,3+,16363,0.15,ZM110,ZM110011
Sep-23,ZMB,19610769,Western,Nkeyema,first projection,01/10/2023,31/03/2024,3+,27272,0.25,ZM110,ZM110011
Sep-23,ZMB,19610769,Western,Mongu,current,01/08/2023,30/09/2023,3+,30515,0.15,ZM110,ZM110007
Sep-23,ZMB,19610769,Western,Mongu,first projection,01/10/2023,31/03/2024,3+,40687,0.2,ZM110,ZM110007
Sep-23,ZMB,19610769,Western,Kalabo,current,01/08/2023,30/09/2023,3+,22989,0.2,ZM110,ZM110001
Sep-23,ZMB,19610769,Western,Kalabo,first projection,01/10/2023,31/03/2024,3+,34483,0.3,ZM110,ZM110001
Sep-23,ZMB,19610769,Western,Mulobezi,current,01/08/2023,30/09/2023,3+,9323,0.2,ZM110,ZM110008
Sep-23,ZMB,19610769,Western,Mulobezi,first projection,01/10/2023,31/03/2024,3+,11653,0.25,ZM110,ZM110008
Sep-23,ZMB,19610769,Western,Mitete,current,01/08/2023,30/09/2023,3+,8153,0.2,ZM110,ZM110006
Sep-23,ZMB,19610769,Western,Mitete,first projection,01/10/2023,31/03/2024,3+,10192,0.25,ZM110,ZM110006
Sep-23,ZMB,19610769,Western,Lukulu,current,01/08/2023,30/09/2023,3+,19805,0.2,ZM110,ZM110005
Sep-23,ZMB,19610769,Western,Lukulu,first projection,01/10/2023,31/03/2024,3+,24756,0.25,ZM110,ZM110005
Sep-23,ZMB,19610769,Western,Sikongo,current,01/08/2023,30/09/2023,3+,24545,0.4,ZM110,ZM110015
Sep-23,ZMB,19610769,Western,Sikongo,first projection,01/10/2023,31/03/2024,3+,30682,0.5,ZM110,ZM110015
